Block,Time_Code,Section,Protocol,Visual_Action,Nano Banana (Start Frame),Nano Banana (End Frame),Kling O1 (Motion Prompt)
15,01:10-01:15,Verse2,B,Infinite Expansion,"(Style: Abstract 3D) Wireframe geometric shapes expanding infinitely, blue and black.","(Auto)","Wireframe geometry expanding, fractal tunnel, camera flying through at high speed."
16,01:15-01:20,Chorus,A,High Def Breath,"(Style: Semi-realistic Manhwa) Extreme close-up of mouth exhaling, visible cold breath (blue vapor).","[Input: Start Frame]","Character exhales slowly, blue digital vapor comes out of mouth, high definition detail."
17,01:20-01:25,Chorus,B,Absorb Morph,"(Style: 3D Render) Liquid metal blob absorbing a geometric cube.","(Auto)","Liquid metal absorbs the object, splashing and morphing, chrome texture, 4k render."
18,01:25-01:30,Chorus,A,Shadow Monster,"(Style: Semi-realistic Manhwa) Character casting a shadow on a concrete wall.","(Style: Semi-realistic Manhwa) Shadow on wall is monstrous and jagged.","Character's shadow on wall grows larger and morphs into a demon shape, ominous movement."
19,01:30-01:35,Chorus,A,Dopamine Eyes,"(Style: Semi-realistic Manhwa) Character smiling manically, eyes wide, sweating blue liquid.","[Input: Start Frame]","Character laughs manically, twitching movement, glitch effects on face."
20,01:35-01:40,Chorus,B,Heart Beat,"(Style: Medical 3D) A mechanical heart pumping, blue light inside.","(Auto)","Mechanical heart beating fast 126bpm, valves opening and closing, metallic texture."
21,01:40-01:45,Drop,B,Strobe Dance,"(Style: Silhouette) Silhouette of character dancing in flashing strobe lights.","(Auto)","Silhouette dancing aggressively, heavy strobe lights flashing black and white, fast cuts."
22,01:45-01:50,Drop,B,Speaker Bass,"(Style: Macro Photo) Close up of a large subwoofer speaker cone.","(Auto)","Speaker cone vibrating heavily to bass, dust jumping off the surface, slow motion impact."
23,01:50-01:55,Drop,A,Head Bang,"(Style: Semi-realistic Manhwa) Character headbanging/nodding heavily to beat, hair flying.","[Input: Start Frame]","Character headbangs to the beat, hair moving dynamically, energetic motion."
24,01:55-02:00,Drop,B,Tunnel Speed,"(Style: Abstract) Infinite neon tunnel, blue and white rings.","(Auto)","Camera flying through neon tunnel at hyperspeed, motion blur, warp speed effect."
25,02:00-02:05,Bridge,B,Data Dive,"(Style: Digital Art) Character falling backwards into a deep ocean of matrix code.","(Auto)","Character falling in slow motion into digital ocean, binary code water splashes."
26,02:05-02:10,Bridge,B,Water Ripple,"(Style: Abstract) Blue water surface rippling, but ripples are hexagonal grids.","(Auto)","Water surface ripples turning into digital hexagonal grid, morphing effect."
27,02:10-02:15,Bridge,A,Self Assemble,"(Style: Semi-realistic Manhwa) Character's face split open to reveal robot parts.","(Style: Semi-realistic Manhwa) Face parts reassembling into a perfect human face.","Mechanical face parts sliding back together to form human face, reverse explosion effect."
28,02:15-02:20,Bridge,A,Cold Stare,"[Input: Last Frame of 27]","(Style: Semi-realistic Manhwa) Character looking perfectly calm, cold atmosphere, frost on skin.","Character stares coldly, frost texture growing on skin, breath turns to ice."
29,02:20-02:25,Bridge,B,Glitch Destruction,"(Style: Glitch Art) The entire screen pixelating and breaking apart.","(Auto)","Screen melts into pixels, heavy datamoshing, colorful noise, system crash vibe."
30,02:25-02:30,Chorus2,A,Perfect Form,"(Style: Semi-realistic Manhwa) Character full body shot, levitating in 'T-pose', glowing aura.","[Input: Start Frame]","Character floats in T-pose, glowing blue aura pulsates, god-like presence."
31,02:30-02:35,Chorus2,B,Chrome Sphere,"(Style: 3D Render) A perfect chrome sphere reflecting the cyberpunk city.","(Auto)","Chrome sphere rotating, reflecting neon city lights, perfect raytracing."
32,02:35-02:40,Chorus2,A,Scream/Sing,"(Style: Semi-realistic Manhwa) Character screaming/singing passionately into a retro microphone.","[Input: Start Frame]","Character singing into microphone with intensity, camera shaking slightly."
33,02:40-02:45,Chorus2,B,Fast Forward,"(Style: Timelapse) City traffic lights moving as streaks of light.","(Auto)","Timelapse of city traffic, light trails, time accelerating, fast forward vibe."
34,02:45-02:50,Chorus2,A,Shadow Fight,"(Style: Silhouette) Character fighting his own shadow.","[Input: Start Frame]","Character punches at shadow, shadow dodges, dynamic fight choreography."
35,02:50-02:55,Chorus2,B,Brain Scan,"(Style: MRI Scan) Blue MRI scan of a human brain, flashing.","(Auto)","MRI brain scan slicing through layers, flashing blue light, synaptic activity."
36,02:55-03:00,Chorus2,A,Eyes Close,"(Style: Semi-realistic Manhwa) Character closing eyes slowly, peaceful but cold.","(Style: Semi-realistic Manhwa) Eyes fully closed, darkness approaching.","Character slowly closes eyes, light fades out, fading to black."
37,03:00-03:05,Outro,B,Loop A (Speaker),"[Loop Bank A] Close up of large speaker vibrating.","(Auto)","(Loop) Speaker cone vibrating rhythmically, consistent lighting for seamless loop."
38,03:05-03:10,Outro,B,Loop B (Tunnel),"[Loop Bank B] Infinite cyber tunnel.","(Auto)","(Loop) Infinite tunnel flight, constant speed, center focus."
39,03:10-03:15,Outro,B,Loop C (Logo),"[Loop Bank C] 3D '404' Logo spinning.","(Auto)","(Loop) 3D metallic logo spinning 360 degrees, seamless rotation."
40,03:15-03:20,Outro,B,Loop A (Speaker),"[Loop Bank A] Speaker vibrating (Repeat).","(Auto)","(Loop) Speaker cone vibrating rhythmically, consistent lighting."
41,03:20-03:25,Outro,B,Loop B (Tunnel),"[Loop Bank B] Infinite cyber tunnel (Repeat).","(Auto)","(Loop) Infinite tunnel flight, constant speed."
42,03:25-03:30,Outro,B,Loop C (Logo),"[Loop Bank C] 3D '404' Logo spinning (Repeat).","(Auto)","(Loop) 3D metallic logo spinning 360 degrees."
43,03:30-03:35,Outro,B,Loop A (Speaker),"[Loop Bank A] Speaker vibrating (Repeat).","(Auto)","(Loop) Speaker cone vibrating rhythmically."
44,03:35-03:40,Outro,B,Loop B (Tunnel),"[Loop Bank B] Infinite cyber tunnel (Repeat).","(Auto)","(Loop) Infinite tunnel flight, constant speed."
45,03:40-03:45,Outro,B,Loop C (Logo),"[Loop Bank C] 3D '404' Logo spinning (Repeat).","(Auto)","(Loop) 3D metallic logo spinning 360 degrees."
46,03:45-03:50,Outro,B,Loop A (Speaker),"[Loop Bank A] Speaker vibrating (Repeat).","(Auto)","(Loop) Speaker cone vibrating rhythmically."
47,03:50-03:55,Outro,B,Loop B (Tunnel),"[Loop Bank B] Infinite cyber tunnel (Repeat).","(Auto)","(Loop) Infinite tunnel flight, constant speed."
48,03:55-04:00,Outro,B,Loop C (Logo),"[Loop Bank C] 3D '404' Logo spinning (Repeat).","(Auto)","(Loop) 3D metallic logo spinning 360 degrees."
49,04:00-04:05,Outro,B,System Shutdown,"(Style: Glitch Art) TV static noise, white noise screen.","(Auto)","Heavy TV static, white noise, signal loss effect, flickering."
50,04:05-04:10,Outro,B,Black Screen,"(Style: Minimalist) Single white dot in center of black screen.","(Style: Minimalist) Pitch black screen.","White dot in center blinks once and disappears (old TV turn off effect), fade to black."
